Station Name,TORONTO,,,,,,
Province,ONTARIO,,,,,,
Latitude,43.67,,,,,,
Longitude,-79.4,,,,,,
Elevation,112.5,,,,,,
Climate Identifier,6158350,,,,,,
WMO Identifier,71266,,,,,,
TC Identifier,,,,,,,
,,,,,,,
Legend,,,,,,,
B,More than one occurrence and estimated,,,,,,
E,Estimated,,,,,,
M,Missing,,,,,,
S,More than one occurrence,,,,,,
T,Trace,,,,,,
[empty],No data available,,,,,,
^,The value displayed is based on incomplete data,,,,,,
,,,,,,,
Date/Time,Year,Month,Mean Temp (°C),,,,
1840-01,1840,1,,,,,
1840-02,1840,2,,,,,
1840-03,1840,3,1.2,,,,
1840-04,1840,4,6.7,,,,
1840-05,1840,5,12.4,,,,
1840-06,1840,6,15.8,,,,
1840-07,1840,7,19.5,,,,
1840-08,1840,8,19,,,,
1840-09,1840,9,12.6,,,,
1840-10,1840,10,7.4,,,,
1840-11,1840,11,2.1,,,,
1840-12,1840,12,-4.9,,,,
1841-01,1841,1,-4.5,,,,
1841-02,1841,2,-5.5,,,,
1841-03,1841,3,-2.3,,,,
1841-04,1841,4,4.3,,,,
1841-05,1841,5,11,,,,
1841-06,1841,6,19.4,,,,
1841-07,1841,7,19.2,,,,
1841-08,1841,8,18.7,,,,
1841-09,1841,9,16.1,,,,
1841-10,1841,10,5.7,,,,
1841-11,1841,11,1.3,,,,
1841-12,1841,12,-2,,,,
1842-01,1842,1,-2.9,,,,
1842-02,1842,2,-2.2,,,,
1842-03,1842,3,2.7,,,,
1842-04,1842,4,7,,,,
1842-05,1842,5,10.2,,,,
1842-06,1842,6,14.5,,,,
1842-07,1842,7,18.6,,,,
1842-08,1842,8,19.5,,,,
1842-09,1842,9,13.8,,,,
1842-10,1842,10,7.8,,,,
1842-11,1842,11,1,,,,
1842-12,1842,12,-3.8,,,,
1843-01,1843,1,-2.2,,,,
1843-02,1843,2,-8.6,,,,
1843-03,1843,3,-5.8,,,,
1843-04,1843,4,5.1,,,,
1843-05,1843,5,10.8,,,,
1843-06,1843,6,14.8,,,,
1843-07,1843,7,19,,,,
1843-08,1843,8,19.4,,,,
1843-09,1843,9,16.4,,,,
1843-10,1843,10,6.4,,,,
1843-11,1843,11,0.7,,,,
1843-12,1843,12,-0.7,,,,
1844-01,1844,1,-6.5,,,,
1844-02,1844,2,-3.6,,,,
1844-03,1844,3,0.2,,,,
1844-04,1844,4,9.3,,,,
1844-05,1844,5,13.2,,,,
1844-06,1844,6,16.1,,,,
1844-07,1844,7,19.5,,,,
1844-08,1844,8,18.4,,,,
1844-09,1844,9,15.4,,,,
1844-10,1844,10,6.6,,,,
1844-11,1844,11,1.9,,,,
1844-12,1844,12,-2.1,,,,
